id,name,type,typecode,pname,cityname,adname,address,location,tel
B0J07HG83H,孟汐艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,昌平区,冠庭中心10号楼5单元401室,"116.317984,40.075269",18500945333
B0KRRRURI3,归水琴箫艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,昌平区,上苑路1号,"116.458300,40.232327",13810972539
B0JD47NLPP,悦荟湾艺术空间,生活服务;生活服务场所;生活服务场所,070000,北京市,北京市,昌平区,十三陵明皇蜡像宫,"116.213333,40.227181",13121969923
B0JG5ZT49Z,玄境艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,昌平区,下苑163号,"116.458117,40.230408",18330013123
B0L1GRBQ8L,自定义艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,昌平区,北七家镇王府西府街51号宏福大厦2层连廊自定义空间,"116.370795,40.101281",[]
B0FFKPXIOH,觅舍盛宴婚礼堂(昌平店),餐饮服务;餐饮相关场所;餐饮相关,050000,北京市,北京市,昌平区,城北街道西环里北口弘大路1号30幢108号至117号,"116.229723,40.233686",15801517550
B0IR5U14O4,A26艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥路4号正东集团院内,"116.498805,39.980663",[]
B0L6HAFQ4A,Mobius M Art Space 莫比乌斯M艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥路2号院798艺术区北一街北口,"116.496557,39.987408",18310421626
B0M6VCKEDJ,NON艺术空间,科教文化服务;美术馆;美术馆,140400,北京市,北京市,朝阳区,半截塔路53号D5-1 NON艺术空间,"116.516065,39.969328",[]
B0HK1D84OE,UMILAB艺术空间,公司企业;公司;公司,170200,北京市,北京市,朝阳区,东村创意园D1-1,"116.570693,39.871754",010-65766623
B0M6XDP5IV,VTD艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,石各庄路与S51机场第二高速出口交叉口北240米,"116.573575,39.942875",[]
B0J0NZF0PJ,bird波得艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,东湖街道广顺北大街19号东湖欢乐颂北区F1层,"116.466608,40.009468",[]
B0J3SHUT6P,traverse艺术空间,体育休闲服务;体育休闲服务场所;体育休闲服务场所,080000,北京市,北京市,朝阳区,首创·郎园station9号库,"116.515525,39.967775",13801075283
B0L67Z1B19,中亚细亚艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,七棵树创意园A10-7,"116.519560,39.968385",15501282628
B0FFGZB87C,五十六朵花艺术空间,购物服务;花鸟鱼虫市场;花卉市场|科教文化服务;科教文化场所;科教文化场所,060501|140000,北京市,北京市,朝阳区,798艺术区707街红石广场处,"116.493656,39.986450",15011224003
B0KU4CZR5U,京古艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,北京古玩城A座玉府金厅七层(古玩楼东门直梯),"116.460175,39.872325",18610519768
B0JGBU876H,伯年艺术空间,科教文化服务;美术馆;美术馆,140400,北京市,北京市,朝阳区,酒仙桥街道酒仙桥路4号798艺术区七星东街E03号楼3楼,"116.496577,39.984642",[]
B0K6XC4JOZ,北京炫文如英艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,西甸路11号院万稼茂商业D座三层305,"116.524751,40.043508",18071471851
B0J2B5TT9V,北极光艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,百子湾路16号楼B区5号楼B座202,"116.485275,39.900275",[]
B0K0JA9HD4,千秋寺艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,朝阳区,东大桥路8号SOHO尚都南塔1202室,"116.453155,39.917656",13260375592;18510892927
B0J6PMW2TV,叁奈艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,水岸南街3号(清河营地铁站D口步行300米),"116.438112,40.050777",18513836815
B0J6CUIEI6,大望艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,建外街道建国路88号SOHO现代城A座703室,"116.477006,39.907408",13126668688
B0LKXKHW28,天夫艺术空间美术学堂,医疗保健服务;医药保健销售店;医疗保健用品,090602,北京市,北京市,朝阳区,北京城区广渠路28号院D区301楼1层105a,"116.481510,39.888321",010-87633530;13020026869
B0HKZCS0AR,太和艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥路798艺术区2号院B10,"116.497724,39.986441",13261081813
B0FFGNN5LV,太阳艺术空间,科教文化服务;美术馆;美术馆|科教文化服务;展览馆;展览馆,140400|140200,北京市,北京市,朝阳区,798艺术区中二街D.5号,"116.495331,39.985410",13910514834
B0L1J58ODI,如颜艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥路4号798艺术区院内七星东街E0205三层,"116.496577,39.983861",13810410911;15101572672
B0K1K7DL67,小镇艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,香江北路28号12号楼2楼(王府井奥莱·香江小镇),"116.504993,40.034184",16586666618
B0G3FHI5M3,彩色圆点艺术空间(三元桥店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,北京城区第三置业B座1601,"116.451525,39.960575",010-84297538;13051228681
B0KKX5515P,影易艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥北路乙十号院星地中心C座F3层,"116.503074,39.985727",010-68008622;19800239803
B0G02M1P0Y,拽马艺术空间,体育休闲服务;娱乐场所;酒吧,080304,北京市,北京市,朝阳区,酒仙桥路2号院798艺术区797路B08,"116.497049,39.986444",13718110957
B0H35A23RU,本一艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,澳洲康都3号楼3单元,"116.462069,40.013454",15010160351;19935695428
B0MGXCYDZ4,杨丽萍生活艺术空间雀云裳民族服饰(天琴洺院店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,北京市,北京市,朝阳区,兴隆庄甲8号德创文化大厦,"116.538531,39.914626",17710766369
B000A8W8ND,桥艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,朝阳区,酒仙桥路4号798艺术区D09-1,"116.495552,39.984359",010-59789980;13020091962
B000AAF9ML,潜望镜艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥路4号798艺术区七星东街料阁子,"116.496615,39.983634",17315239216
B000A9LJN1,瀚艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,朝阳区,01商务楼东门旁,"116.491129,39.986384",[]
B0MBKUQBH5,火山艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,北影传奇科创园A8栋东南侧50米,"116.582892,39.894320",[]
B0K3FUN3FI,王清州艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,音响南路797中街,"116.490623,39.986296",010-57623012
B0LKTRX7G7,睿境艺术空间,科教文化服务;美术馆;美术馆,140400,北京市,北京市,朝阳区,798艺术区中一街D05,"116.494417,39.985157",[]
B0I26HGZ6Q,笙白艺术空间,公司企业;公司;公司,170200,北京市,北京市,朝阳区,石佛营西二路与朝阳北路辅路交叉口北100米,"116.499684,39.924145",13051010235
B0K2PSKSZ1,萌乐园艺术空间,体育休闲服务;休闲场所;游乐场,080501,北京市,北京市,朝阳区,国美第一城2号院9号楼底商F2-08,"116.513742,39.934644",13641144494;18513695356
B0H24CM12A,路易威登北京Espace文化艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,朝阳区,建国门外大街1号国贸西楼F2(国贸地铁站出入口步行220米),"116.457500,39.909503",[]
B0FFIKIHRF,金延林艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,酒仙桥北路798艺术区751罐南邻,"116.501489,39.986102",[]
B0FFJJYS1E,铜牛电影艺术空间,科教文化服务;传媒机构;传媒机构,141100,北京市,北京市,朝阳区,朝阳路85号院10号楼,"116.525740,39.918220",[]
B0HKXSQ6VB,非洲艺术空间(七棵树创意园店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,半截塔路55号七棵树创意园B1-11,"116.518794,39.966879",[]
B0IAGC9QFV,鸿鹄佳艺艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,朝阳区,双桥东路东一时区15号楼1-2层,"116.607085,39.899902",18611195152
B0KKVZS7PJ,藏雅艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,海淀区,北四环西路95号,"116.274220,39.972070",[]
B0IR252A68,遐迩·静莲阁艺术空间,购物服务;购物相关场所;购物相关场所,060000,北京市,北京市,石景山区,模式口大街86号院(模式口地铁站A口步行320米),"116.157094,39.934582",13718425085
B0KD35QECK,青叶共享艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,石景山区,雍景四季小区院内2号楼底商,"116.205123,39.933516",15201353687
B0K3ZZCQ4S,29号艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,西城区,白广路29号,"116.358863,39.881825",18610116693
B0LDTU7R6Q,ucvibes艺术空间(大吉巷),购物服务;购物相关场所;购物相关场所,060000,北京市,北京市,西城区,骡马市大街264号北京中海大吉巷购物中心F1层FS9单元,"116.376050,39.887779",17610061639
B0JANRNAXV,卡萨帝洗护艺术空间(金融街购物中心店),购物服务;家电电子卖场;数码电子,060306,北京市,北京市,西城区,金城坊街2号金融街购物中心4层L421,"116.361755,39.915510",18911518099
B0L6973VJ1,太仆寺红墙文化艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,太仆寺33号院5号楼西侧地下一层,"116.378425,39.912575",13011865035;13910025852
B0KDCLSRJS,楚霖油画艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,柳荫街甲2号,"116.384517,39.940469",18514603739;18514667825
B0FFM0OHOJ,欧林乌托邦艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,莲花池东路16号,"116.345098,39.895397",16601547535
B0JKL54ZBU,煦润文化艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,琉璃厂东街中国书店115-4,"116.384325,39.895975",13029987755
B0MU9C0G7M,真武文化艺术空间,科教文化服务;传媒机构;传媒机构,141100,北京市,北京市,西城区,北京城区西海东沿与德胜门内大街交叉口西北20米,"116.379352,39.944293",15901159886
B0K1VOL9OE,竹菻里艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,西直门南小街141号楼西派国际公寓2号楼1层105,"116.358760,39.929210",[]
B0K1FHOH0L,美至艺术空间(德胜校区),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,北京城区五路通北街德胜置业大厦5号楼沿街商铺三层,"116.382066,39.961936",15811585680
B0KKTSVEPL,花火垚ARTSPACE艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,西城区,西直门外南路93号JK FUN商城B1,"116.343115,39.937625",[]
B0LUJXDALR,1319艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,东轴斜街106号,"116.722539,39.963880",[]
B0LRL5N2AW,三石头艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,v7九间堂108栋101室,"116.682237,39.926249",[]
B0FFHDXYSY,墨泰艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,通州区,宋庄任庄北12号,"116.750691,39.954325",010-80519663
B0H1Y7X40W,大有艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,宋庄镇一耕美术馆西侧底商右二,"116.723672,39.963636",[]
B0KA97OOQI,宋庄M艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,双翼街25号,"116.724300,39.968521",[]
B0J6AZWAR3,宝藏天下艺术空间,购物服务;专卖店;古玩字画店,061201,北京市,北京市,通州区,东区艺术5号楼宋庄古玩城对面,"116.719267,39.965760",[]
B0KGVCJZWE,尚多米艺术空间展览馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,双翼街与东轴街交叉口西120米,"116.721086,39.967519",18612015758
B0M6N6DUC9,新西兰当代艺术空间,科教文化服务;展览馆;展览馆,140200,北京市,北京市,通州区,宋庄路与宋庄西街交叉口西北200米,"116.726386,39.950200",[]
B0G0TYDUK1,李光林艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,东轴街与双翼街交叉口北140米,"116.722038,39.968809",[]
B0L05CTCN6,蜜ME艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,双塘街与徐宋路交叉口西340米,"116.715075,39.967975",[]
B0LADX3KYQ,飞云艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,小堡北街109号南门内天井院,"116.719420,39.950652",15712975265
B0FFI1BUQ6,龙成艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,通州区,宋庄镇小堡环岛上上国际美术馆E06,"116.718871,39.960087",13811741125
B0J27CF8UT,禾言生活艺术空间(陈氏定窑),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,门头沟区,琉璃渠大街2号金隅琉璃文化创意产业园,"116.091134,39.969011",15510771223
B0K2JC6O1D,任思鸿艺术空间,公司企业;公司;公司,170200,北京市,北京市,顺义区,顺沙路与张西路交叉口西北160米,"116.560175,40.147225",13810975933
B0FFKHGIG6,武一艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,顺义区,后沙峪中心小学空港家居文化广场,"116.543498,40.110451",17611496022
